,correlation,rf_importance,mutual_info,rfe_selected
google_index,0.7311708381262669,0.18575662970465537,0.2990286349932554,1.0
page_rank,0.5111371436645017,0.11770660992463886,0.22023056356790605,1.0
web_traffic,0.3614449652126596,0.08180968175373976,0.3003755017439236,1.0
nb_hyperlinks,0.5086734775283912,0.08099384894466594,0.233981729748866,1.0
nb_www,0.443467687512862,0.039513265891192716,0.11404930793217893,1.0
ratio_extHyperlinks,0.0489740122950425,0.03722692617921721,0.23845966030428767,1.0
domain_age,0.33190752004666396,0.030727247639875107,0.2787145267845579,1.0
longest_word_path,0.287276850465607,0.027711241362209704,0.10904574189255856,0.0
phish_hints,0.36171788513811187,0.024163361595141996,0.08454785370351003,1.0
safe_anchor,0.1733972851949878,0.020312173480006964,0.1824699818069695,0.0
ratio_intHyperlinks,0.24398212184603432,0.020120119092264035,0.2407107932574435,1.0
length_hostname,0.2034023485072529,0.016174892087428786,0.06980968740295213,0.0
length_url,0.3051096766955223,0.016006779206766884,0.06573446569451402,0.0
ratio_digits_url,0.36234687203267174,0.014477404115885276,0.10139675700701534,0.0
ratio_extRedirection,0.17871956649755746,0.014202504739816732,0.12462946633881677,0.0
longest_words_raw,0.31397257355096037,0.0141726442503839,0.07738593437225982,1.0
links_in_tags,0.18440108713057496,0.014090039063539062,0.12210407135425316,0.0
length_words_raw,0.2350872070337624,0.013901089924285358,0.04084914421736485,0.0
domain_in_title,0.3428069729938354,0.013733066187176042,0.058958227785100625,1.0
avg_word_path,0.253007462991979,0.013194404536763961,0.07993654634607461,0.0
domain_registration_length,0.13692368399466004,0.013033895460914557,0.14605378006284653,0.0
char_repeat,0.09312653455078947,0.012702480289658697,0.08283161812157624,0.0
ratio_digits_host,0.236950695810121,0.012443356518240916,0.05018968276929536,1.0
nb_dots,0.18840185947227642,0.01187825645555338,0.06398150238582345,0.0
nb_slash,0.24164163691770352,0.011013624807551232,0.0301059995732611,0.0
shortest_word_path,0.1429766902499154,0.010778819926511222,0.03585201917601277,0.0
shortest_word_host,0.1945408577668472,0.010289963036650253,0.07593976719104867,0.0
avg_words_raw,0.1879152335817512,0.009275056379454987,0.06609442202958427,0.0
nb_hyphens,0.05576244440568944,0.00857496968265474,0.02897811075849921,1.0
avg_word_host,0.172499949124156,0.008143155783901547,0.0771389876172448,1.0
nb_qm,0.29779854241274384,0.007747555066462374,0.03929819095299725,1.0
shortest_words_raw,0.08532715519420628,0.007468906376922691,0.054071975550978646,0.0
longest_word_host,0.10273348426282997,0.006781791927165379,0.02292073598781008,0.0
ip,0.32169778238740937,0.006158172552781855,0.055388649408483426,1.0
ratio_extMedia,0.2016284891113179,0.005220707765871205,0.06249293672211076,0.0
domain_with_copyright,0.17309846045473132,0.005090847013155975,0.01971602398755179,0.0
